papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Bruta,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Líq/ Patrim.,Cresc. Rec.5a,Earnings Yield,Valor,Quantidade,Estratégia,Ativos na Carteira,Volume Mínimo,Data,Ranking_EY,Ranking_ROIC,Magic Formula
CEAB3,11.15,5.88,0.93,0.43,0.046799999999999994,0.398,2.14,3.6,-3.77,3.74,2.74,"55,84%",0.11939999999999999,0.0732,1.67,14.7,0.15789999999999998,105901000.0,3702830000.0,0.04,0.09910000000000001,26.7,110819.85,9939.0,Earnings Yield,20,1000000,2026-05-21,,,
CSED3,4.32,5.79,0.95,0.549,0.1124,0.324,3.57,2.92,-0.8,3.77,2.52,"51,06%",0.1881,0.0949,1.55,14.3,0.1646,4218800.0,1652140000.0,0.28,0.1143,26.5,96128.64,22252.0,Earnings Yield,20,1000000,2026-05-21,,,
ASAI3,8.61,16.65,1.98,0.151,0.0121,0.247,7.19,1.88,-0.49,3.81,2.96,"17,44%",0.0803,0.009000000000000001,1.1,19.7,0.1189,119431000.0,5887000000.0,2.04,0.1492,26.2,113789.76,13216.0,Earnings Yield,20,1000000,2026-05-21,,,
PFRM3,6.35,7.45,0.59,0.068,0.1015,0.13,0.75,2.02,-5.52,3.94,2.57,"15,42%",0.0335,0.0097,1.33,11.4,0.0786,1954060.0,1341390000.0,0.56,0.1484,25.4,100069.65,15759.0,Earnings Yield,20,1000000,2026-05-21,,,
SEER3,12.29,6.41,1.12,0.7,0.038900000000000004,0.443,3.56,3.17,-1.74,3.95,2.72,"59,66%",0.2211,0.1091,1.56,16.6,0.174,16350200.0,1417590000.0,0.28,0.10859999999999999,25.3,115525.99999999999,9400.0,Earnings Yield,20,1000000,2026-05-21,,,
ANIM3,3.39,10.2,0.57,0.334,0.0229,0.13,1.06,1.12,-0.28,4.52,3.36,"63,13%",0.2969,0.0622,1.9,14.2,0.0562,29136800.0,2388890000.0,1.73,0.061900000000000004,22.1,101049.12000000001,29808.0,Earnings Yield,20,1000000,2026-05-21,,,
VLID3,17.63,5.92,0.84,0.718,0.0956,0.474,1.77,4.36,12.64,4.57,3.35,"34,81%",0.1649,0.12480000000000001,2.32,15.0,0.1422,7623390.0,1714470000.0,0.04,-0.008100000000000001,21.9,114806.56,6512.0,Earnings Yield,20,1000000,2026-05-21,,,
BEEF3,4.26,5.99,3.38,0.075,0.045899999999999996,0.102,0.73,1.09,-0.27,4.59,3.66,"17,06%",0.06849999999999999,0.0132,1.32,17.8,0.5647,70738600.0,1260430000.0,10.86,0.177,21.8,122342.93999999999,28719.0,Earnings Yield,20,1000000,2026-05-21,,,
HBRE3,2.91,10.01,0.17,0.544,0.40049999999999997,0.061,-1.8,0.85,-0.16,4.61,4.52,"39,39%",0.6423000000000001,0.18510000000000001,0.72,7.6,0.0166,1197840.0,1809910000.0,0.74,0.4236,21.7,119825.07,41177.0,Earnings Yield,20,1000000,2026-05-21,,,
PETR4,44.6,5.34,1.29,1.154,0.0712,0.461,-11.82,2.95,-0.87,4.62,3.19,"47,36%",0.3907,0.2169,0.74,16.8,0.24170000000000003,2475970000.0,445189000000.0,0.73,-0.0288,21.6,122025.6,2736.0,Earnings Yield,20,1000000,2026-05-21,,,
COGN3,2.54,7.8,0.39,0.696,0.0467,0.216,2.66,2.39,-0.92,4.82,3.68,"66,92%",0.2909,0.084,1.65,10.1,0.049400000000000006,87529900.0,13601200000.0,0.39,0.1159,20.7,122011.44,48036.0,Earnings Yield,20,1000000,2026-05-21,,,
IRBR3,53.38,-107.79,0.82,0.882,0.0175,0.283,0.0,11.01,0.0,0.0,0.0,"0,19%",0.0801,-0.008199999999999999,0.0,0.0,-0.0076,40487600.0,5314840000.0,0.00,-0.449,inf,45373.0,850.0,Earnings Yield,30,400000,2026-05-21,,,
PSSA3,49.22,8.64,2.05,0.761,0.060599999999999994,0.554,4.8,0.92,-4.12,0.55,0.54,"100,00%",0.8240999999999999,0.08900000000000001,1.24,77.6,0.237,92814400.0,15535900000.0,-0.84,0.15810000000000002,181.8,45183.96,918.0,Earnings Yield,30,400000,2026-05-21,,,
